iso3,country,latest_year,access_percentage
AFG,Afghanistan,2024,30.55472231111693
ALB,Albania,2024,70.7937363898968
AND,Andorra,2024,90.64000180608583
ARE,United Arab Emirates,2024,98.6413172332089
ARM,Armenia,2024,82.07281918802416
ASM,American Samoa,2024,90.53833605220227
AUS,Australia,2024,99
AUT,Austria,2024,98.89153572321435
AZE,Azerbaijan,2024,57.81182831960957
BEL,Belgium,2024,99.54713451820494
BEN,Benin,2024,17.69683223748673
BES,"Bonaire, Sint Eustasius and Saba",2024,100.0
BGD,Bangladesh,2024,59.1254259857148
BGR,Bulgaria,2024,96.2070781494387
BHR,Bahrain,2024,98.90397556318041
BIH,Bosnia and Herzegovina,2024,86.40010787900603
BLM,Saint Barthelemy,2024,100.0
BLR,Belarus,2024,93.05975529335339
BRA,Brazil,2024,88.62396607214139
BTN,Bhutan,2024,65.59421596927488
BWA,Botswana,2024,63.2910412393649
CAF,Central African Republic,2024,6.217487689667309
CAN,Canada,2024,96.89032265634896
CHE,Switzerland,2024,96.69999688819372
CHL,Chile,2024,97.81705519981605
CHN,China,2024,97
CIV,Côte d'Ivoire,2024,36.44893815599531
COD,Democratic Republic of the Congo,2024,11.87264818193869
COG,Congo,2021,45.87484199708015
COL,Colombia,2024,74.33929919178999
CRI,Costa Rica,2024,80.50007424306979
CYP,Cyprus,2024,99.72110882999843
CZE,Czechia,2024,98.14487283855644
DEU,Germany,2024,99.91729794593545
DNK,Denmark,2024,99.91882713896112
DOM,Dominican Republic,2024,45.3324070681699
DZA,Algeria,2024,69.02918252489637
ECU,Ecuador,2024,69.88699970385014
EGY,Egypt,2024,78.94015883277652
ESP,Spain,2024,99.45846466538761
EST,Estonia,2024,98.94390972639536
ETH,Ethiopia,2024,13.54720092255795
FIN,Finland,2024,99.64679671085197
FJI,Fiji,2024,42.11075010608548
FRA,France,2024,99.71270147467945
GBR,United Kingdom,2024,99.82295067603951
GEO,Georgia,2024,70.52660972678704
GHA,Ghana,2024,42.94138920273738
GIB,Gibraltar,2024,100.0
GLP,Guadeloupe,2024,96.65287833708364
GMB,Gambia,2024,48.17900349385818
GNB,Guinea-Bissau,2024,23.98501679010726
GRC,Greece,2024,96.6861554835288
GRD,Grenada,2017,89.91767999993176
GTM,Guatemala,2024,48.7871950677385
GUF,French Guiana,2024,92.23724415161689
GUM,Guam,2024,93.99715378315476
GUY,Guyana,2024,67.17443743240537
HKG,"China, Hong Kong SAR",2024,100.0
HND,Honduras,2024,65.51622117883821
HRV,Croatia,2024,87.2682692486734
HUN,Hungary,2024,100.0
IDN,Indonesia,2024,30.46097736436088
